1441542705,39;1;38,8
1441542705,39;2;35,4
1441542707,29;1;39,1
1441542707,29;2;35,4
1441542707,7;1;39,1
1441542707,7;2;35,5
1441542708,1;1;39,0
1441542708,1;2;35,4
1441542708,5;1;39,2
1441542708,5;2;35,5
1441542708,91;1;38,9
1441542708,91;2;35,4
1441542709,31;1;39,1
1441542709,31;2;35,4
1441542709,71;1;39,1
1441542709,71;2;35,4
1441542710,11;1;39,0
1441542710,11;2;35,4
1441542710,52;1;39,2
1441542710,52;2;35,4
1441542710,92;1;39,0
1441542710,92;2;35,4
1441542724,84;1;39,2
1441542739,86;1;39,2
1441542739,86;2;35,4
1441542741,77;1;39,3
1441542741,77;2;35,4
1441542742,17;1;39,3
1441542742,17;2;35,4
1441542742,57;1;39,1
1441542742,57;2;35,5
1441542742,98;1;39,2
1441542742,98;2;35,5
1441542743,38;1;39,1
1441542743,38;2;35,4
1441542743,78;1;38,9
1441542743,78;2;35,4
1441542744,19;1;39,2
1441542744,19;2;35,5
1441542744,59;1;39,1
1441542744,59;2;35,3
1441542744,99;1;39,2
1441542744,99;2;35,4
1441542745,39;1;39,1
1441542745,39;2;35,4
1441542745,8;1;39,1
1441542745,8;2;35,4
1441542746,2;1;39,2
1441542746,2;2;35,5
1441542746,6;1;39,0
1441542746,6;2;35,4
1441542747,01;1;39,3
1441542747,01;2;35,4
1441542747,41;1;39,2
1441542747,41;2;35,3
1441542747,81;1;39,1
1441542747,81;2;35,5
1441542748,21;1;39,2
1441542748,21;2;35,4
1441542748,62;1;39,2
1441542748,62;2;35,3
1441542749,02;1;39,1
1441542749,02;2;35,4
1441542749,42;1;39,0
1441542749,42;2;35,3
1441542749,82;1;39,1
1441542749,82;2;35,5
1441542750,23;1;39,1
1441542750,23;2;35,4
1441542750,63;1;39,2
1441542750,63;2;35,5
1441542751,03;1;39,1
1441542751,03;2;35,4
1441542751,44;1;39,1
1441542751,44;2;35,2
1441542751,84;1;39,2
1441542751,84;2;35,6
1441542752,24;1;39,0
1441542752,24;2;35,4
1441542752,64;1;39,2
1441542752,64;2;35,3
1441542753,05;1;38,9
1441542753,05;2;35,5
1441542753,45;1;39,2
1441542753,45;2;35,4
1441542753,85;1;39,1
1441542753,85;2;35,4
1441542754,26;1;39,2
1441542754,26;2;35,6
1441542754,66;1;39,2
1441542754,66;2;35,4
1441542755,06;1;39,3
1441542755,06;2;35,4
1441542755,46;1;39,1
1441542755,46;2;35,3
1441542755,87;1;39,1
1441542755,87;2;35,5
1441542756,27;1;39,0
1441542756,27;2;35,5
1441542756,67;1;39,1
1441542756,67;2;35,4
1441542757,08;1;39,1
1441542757,08;2;35,4
1441542757,48;1;39,3
1441542757,48;2;35,4
1441542757,88;1;39,2
1441542757,88;2;35,4
1441542758,28;1;39,2
1441542758,28;2;35,4
1441542758,69;1;39,2
1441542758,69;2;35,4
1441542759,09;1;39,1
1441542759,09;2;35,4
1441542759,49;1;39,1
1441542759,49;2;35,5
1441542759,89;1;39,1
1441542759,89;2;35,3
1441542760,3;1;39,1
1441542760,3;2;35,4
1441542760,7;1;39,1
1441542760,7;2;35,4
1441542761,1;1;39,1
1441542761,1;2;35,5
1441542761,51;1;39,2
1441542761,51;2;35,4
1441542761,91;1;39,1
1441542761,91;2;35,4
